day,side,reason,short,qty,credit,actual,held,delta_pnl,touched_after_exit,settle
2026-04-22,bull,risk_off_reversal,7060,15,1837.5,450.0,1837.5,1387.5,0,7137.12
2026-04-23,bull,risk_off_reversal,7100,15,1612.5000000000002,-374.9999999999998,1612.5,1987.5,1,7108.04
2026-04-28,bear,risk_off_reversal,7165,15,1837.5,1050.0,1837.5,787.5,0,7139.24
2026-05-04,bull,risk_off_reversal,7190,15,1462.5,-600.0,1462.5,2062.5,1,7201.46
2026-05-07,bull,sr_inner_breach,7345,15,1687.4999999999998,-3449.999999999999,-10147.5,-6697.5,1,7337.11
2026-05-08,bull,risk_off_reversal,7350,15,1462.5,1275.0,1462.5,187.5,0,7397.43
2026-05-11,bull,risk_off_reversal,7375,15,1312.4999999999998,-225.0,1312.5,1537.5,0,7412.95
2026-05-12,bear,risk_off_reversal,7405,15,1312.5000000000002,-375.0,1312.5,1687.5,1,7401.63
2026-05-18,bear,risk_off_reversal,7440,15,1687.4999999999998,375.0,1687.5,1312.5,0,7403.1
2026-05-19,bear,risk_off_reversal,7405,15,2512.5,525.0,2512.5,1987.5,0,7354.96
2026-05-21,bull,sr_inner_breach,7425,15,1237.5,-2475.0000000000005,1237.5,3712.5,1,7446.05
2026-05-26,bull,risk_off_reversal,7480,15,1912.4999999999995,-2100.0000000000005,1912.5,4012.5,0,7519.47
2026-05-26,bear,risk_off_reversal,7535,15,787.5000000000001,-224.9999999999999,787.5,1012.5,0,7519.47
2026-05-27,bear,risk_off_reversal,7540,15,1387.5,-600.0,1387.5,1987.5,0,7521.29
