day,side,reason,vix1d,regime,entry_et,exit_et,short,D_entry,pmkt_entry,D_exit,pmkt_exit,actual_pnl,held_pnl,touched_after_exit,settle_beyond
2025-09-09,c,sr_inner_breach,8.37,calm,11:06,11:18,6515.0,1.994,0.8692,1.522,0.7511,-375,937.5,1,1
2025-09-09,p,sr_inner_breach,8.37,calm,13:29,13:31,6485.0,2.26,0.8153,2.269,0.8172,-224.9999999999999,787.5,0,1
2025-09-10,p,risk_off_reversal,8.92,calm,10:09,11:17,6515.0,2.441,0.8203,1.645,0.654,-1500,1387.5,0,1
2025-09-10,c,sr_inner_breach,8.92,calm,12:49,12:51,6555.0,1.905,0.8483,1.644,0.7839,-374.9999999999999,787.5,0,1
2025-09-11,p,expiration,12.58,mid,10:09,16:02,6525.0,2.065,0.7437,,,1762.5,1762.5,0,1
2025-09-12,p,sr_inner_breach,9.65,calm,10:59,11:30,6565.0,1.867,0.7131,1.387,0.5742,-1350.0000000000005,862.5,0,1
2025-09-15,p,risk_off_reversal,10.37,calm,10:49,11:07,6580.0,2.193,0.7858,2.215,0.795,-225.0000000000001,562.5,0,1
2025-09-16,c,sr_inner_breach,8.89,calm,10:47,13:01,6630.0,1.542,0.7526,1.781,0.8193,375,937.5,0,1
2025-09-18,p,risk_off_reversal,14.15,mid,10:07,11:53,6595.0,1.849,0.6897,1.85,0.7147,374.9999999999998,2062.5,0,1
2025-09-19,c,sr_inner_breach,14.26,mid,11:10,11:52,6660.0,1.018,0.5602,0.993,0.5474,149.99999999999977,-2797.5,1,0
2025-09-22,p,expiration,11.0,mid,10:26,16:02,6635.0,1.563,0.6152,,,1087.5,1087.5,0,1
2025-09-23,c,expiration,8.9,calm,10:39,16:02,6715.0,1.777,0.814,,,937.5,937.5,0,1
2025-09-24,c,expiration,9.75,calm,14:08,16:03,6645.0,1.664,0.7751,,,1087.5,1087.5,0,1
2025-09-25,p,risk_off_reversal,9.35,calm,10:36,13:23,6565.0,2.926,0.8996,2.626,0.8768,-450,1837.5,0,1
2025-09-26,c,risk_off_reversal,11.54,mid,10:53,12:21,6650.0,2.041,0.8757,1.486,0.7376,225,1837.5,0,1
2025-09-30,p,risk_off_reversal,9.93,calm,12:26,13:12,6625.0,2.452,0.8463,1.94,0.7446,-1349.9999999999998,1312.5,0,1
2025-10-01,p,expiration,10.79,calm,10:31,16:00,6640.0,2.205,0.7822,,,1462.5,1462.5,0,1
2025-10-02,c,risk_off_reversal,10.26,calm,10:25,13:43,6740.0,1.72,0.794,2.257,0.9037,900,1387.5,0,1
2025-10-03,p,risk_off_reversal,10.57,calm,10:41,13:03,6710.0,2.11,0.7651,1.796,0.707,-75.00000000000045,1312.5,1,1
2025-10-03,c,sr_inner_breach,10.57,calm,14:18,14:22,6745.0,2.362,0.9135,1.872,0.8251,-600,562.5,0,1
2025-10-06,p,expiration,11.35,mid,11:54,16:00,6715.0,1.652,0.6598,,,1162.5,1162.5,0,1
2025-10-07,c,expiration,8.65,calm,10:26,16:00,6765.0,1.785,0.811,,,1012.5,1012.5,0,1
2025-10-08,p,expiration,10.75,calm,10:07,16:00,6695.0,2.263,0.7858,,,1387.5,1387.5,0,1
2025-10-09,c,expiration,9.71,calm,10:58,16:00,6765.0,1.717,0.8064,,,937.5,937.5,0,1
2025-10-10,c,expiration,11.33,mid,12:13,16:04,6705.0,4.085,0.9979,,,1537.4999999999998,1537.5,0,1
2025-10-15,p,risk_off_reversal,17.23,elevated,10:14,11:13,6650.0,2.27,0.7901,2.007,0.7499,-524.9999999999998,1612.5,1,1
2025-10-15,c,expiration,17.23,elevated,12:49,16:01,6710.0,1.869,0.84,,,1312.5,1312.5,0,1
2025-10-16,c,expiration,16.57,elevated,11:49,16:01,6720.0,2.149,0.8951,,,2662.5,2662.5,0,1
2025-10-17,p,expiration,21.66,elevated,12:12,16:00,6570.0,2.662,0.8784,,,2287.4999999999995,2287.5,0,1
2025-10-20,p,expiration,18.42,elevated,12:49,16:00,6690.0,1.733,0.689,,,1087.5000000000002,1087.5,0,1
2025-10-22,c,expiration,10.55,calm,10:46,16:04,6745.0,2.421,0.9299,,,2062.5,2062.5,0,1
2025-10-24,p,risk_off_reversal,13.62,mid,11:26,11:45,6760.0,2.124,0.7776,1.927,0.7335,-750,1312.5,0,1
2025-10-27,p,risk_off_reversal,14.7,elevated,10:09,10:23,6815.0,1.604,0.6217,1.346,0.5447,-1125,1387.5,0,1
2025-11-05,p,risk_off_reversal,14.77,elevated,10:44,15:58,6755.0,1.813,0.6937,23.322,1.0,2175,2287.5,0,1
2025-11-06,c,sr_inner_breach,12.08,mid,11:57,13:36,6760.0,2.585,0.9487,1.461,0.7203,-2700,2962.5,0,1
2025-11-07,c,risk_off_reversal,16.13,elevated,10:57,13:15,6715.0,2.254,0.9111,2.657,0.9523,1875,-17917.5,1,0
2025-11-10,c,risk_off_reversal,16.49,elevated,11:53,11:59,6815.0,1.527,0.7514,1.199,0.6352,-1049.9999999999998,-23992.5,1,0
2025-11-10,p,expiration,16.49,elevated,14:52,16:05,6815.0,1.426,0.6,,,712.5,712.5,0,1
2025-11-11,c,risk_off_reversal,11.68,mid,10:21,11:22,6850.0,1.886,0.8327,1.448,0.7272,-600,937.5,1,1
2025-11-11,p,expiration,11.68,mid,12:21,16:02,6800.0,1.851,0.7178,,,1162.5,1162.5,0,1
2025-11-13,c,expiration,11.61,mid,12:00,16:03,6830.0,3.303,0.9872,,,1537.4999999999998,1537.5,0,1
2025-11-14,p,expiration,18.23,elevated,10:33,16:00,6635.0,2.605,0.8561,,,2812.5,2812.5,0,1
2025-11-18,c,risk_off_reversal,19.01,elevated,10:41,11:26,6675.0,2.268,0.9083,1.679,0.7958,-2399.9999999999995,3262.5,0,1
2025-11-21,c,risk_off_reversal,28.72,elevated,10:40,11:29,6620.0,2.031,0.8684,1.084,0.5883,-4125.000000000002,3862.5,1,1
2025-11-21,p,expiration,28.72,elevated,12:57,16:02,6540.0,2.098,0.7814,,,1987.5,1987.5,0,1
2025-11-24,p,expiration,22.49,elevated,10:40,16:03,6610.0,1.819,0.694,,,2362.5,2362.5,0,1
2025-11-25,p,expiration,14.53,mid,11:26,16:04,6655.0,2.773,0.8894,,,1687.4999999999998,1687.5,0,1
2025-11-26,p,expiration,11.43,mid,12:23,16:00,6780.0,2.732,0.888,,,1087.5,1087.5,0,1
2025-12-01,p,risk_off_reversal,11.16,mid,11:49,14:10,6795.0,2.45,0.8429,3.423,0.9564,600,1387.5,0,1
2025-12-02,p,risk_off_reversal,11.75,mid,10:53,11:15,6800.0,2.393,0.8264,1.482,0.6037,-3449.999999999999,1612.5,0,1
2025-12-02,c,sr_inner_breach,11.75,mid,13:12,14:04,6850.0,1.894,0.843,1.654,0.7731,-525,1087.5,0,1
2025-12-03,p,expiration,10.28,calm,10:29,16:04,6775.0,3.148,0.9214,,,2137.5,2137.5,0,1
2025-12-05,p,risk_off_reversal,10.34,calm,10:08,11:20,6830.0,3.194,0.9211,2.573,0.8603,-1424.9999999999993,1612.5,0,1
2025-12-05,c,sr_inner_breach,10.34,calm,12:36,12:46,6885.0,1.858,0.8382,1.435,0.7199,-1200.000000000001,1912.5,0,1
2025-12-08,c,expiration,9.57,calm,10:29,16:00,6890.0,2.026,0.8648,,,1912.5,1912.5,0,1
2025-12-09,p,sr_inner_breach,9.27,calm,11:13,12:47,6830.0,1.957,0.7374,1.692,0.6768,-900,1462.5,0,1
2025-12-11,p,expiration,12.18,mid,11:53,16:04,6830.0,2.013,0.7551,,,1237.4999999999998,1237.5,0,1
2025-12-12,c,expiration,10.59,calm,11:59,16:01,6865.0,3.218,0.9847,,,2512.5000000000005,2512.5,0,1
2025-12-15,c,risk_off_reversal,12.02,mid,10:14,11:19,6865.0,2.004,0.8552,1.575,0.7669,0,2437.5,0,1
2025-12-16,c,risk_off_reversal,12.38,mid,11:25,13:42,6825.0,2.309,0.9192,3.062,0.9759,1200.0000000000002,1687.5,0,1
2025-12-17,c,expiration,11.45,mid,10:43,16:04,6820.0,2.648,0.9516,,,2887.5,2887.5,0,1
2025-12-18,p,risk_off_reversal,17.5,elevated,11:46,12:05,6765.0,1.743,0.6851,1.16,0.4974,-2549.9999999999995,1162.5,1,1
2025-12-19,p,risk_off_reversal,14.53,mid,10:41,11:13,6770.0,2.371,0.8186,2.389,0.8293,-4.547473508864641e-13,1687.5,0,1
